Deal_title,Lead_name,Industry,Deal_value,Weighted_amount,Date_of_creation,Pitch,Contact_no,Lead_revenue,Fund_category,Geography,Location,POC_name,Designation,Lead_POC_email,Hiring_candidate_role,Lead_source,Level_of_meeting,Last_lead_update,Internal_POC,Resource,Internal_rating,Success_probability
TitleZMS0G,"Hansen, Castro and Pugh PLC",Services,88552$,562305.2$,2020-06-27,Product_2,400.110.2909x0613,100 - 500 Million,Category 4,India,Nanded,rekha bai,CEO/Chairman/President,rhondadavis@hansen.com,Public affairs consultant,Website,Level 1,Pending,"Young,Valerie K",We have all the requirements,3,60.7
TitleERZI4,Whitehead-Walker Inc,Construction Services,85702$,548492.8$,2019-11-08,Product_2,311-214-3312x16032,100 - 500 Million,Category 1,USA,"Mobile, AL",Keith Patterson,Vice President / GM (04-present) : VP Sales and Marketing (01-04),keithpatterson@whiteheadwalker.com,Sports coach,Others,Level 1,Up-to-date,"Anthony,Katherine D",No,5,71.0
TitleBZ8I3,Hull Group Ltd,Other Investment Firms,390309$,2458946.7$,2019-10-13,Product_2,+1-369-535-1832x6894,50 - 100 Million,Category 2,,"Miami-Fort Lauderdale-West Palm Beach, FL",Joshua Wright,Chairman/CEO/President,joshuawright@hull.com,Broadcast journalist,Contact Email,Level 3,?,"Dimattia,Frank D",Deliverable,4,70.0
TitleEWIQD,Rodriguez Inc LLC,Software,140949$,,2019-05-19,Product_1,667-032-4850,100 - 500 Million,Category 3,USA,"Columbus, IN",Christopher Walter,Executive Vice President,christopherwalter@rodriguez.com,Phytotherapist,Marketing Event,Level 2,More than a week back,"Mabrey,Kevin C",Yes,1,66.4
Title4GA63,Chase-Ramirez Inc,Other Biz Services,121705$,760656.25$,2019-10-28,Product_2,(035)325-5299x501,50 - 100 Million,Category 1,India,Vellore,manju,SVP/General Counsel ,ericanorman@chaseramirez.com,Sales promotion account executive,Marketing Event,Level 2,Up-to-date,"Tondeur,Keith D",Deliverable,2,61.900000000000006
TitleJP3DF,Lin PLC LLC,Materials/Manufacturing,420144$,2730936.0$,2019-11-12,Product_1,182-962-7611,500 Million - 1 Billion,Category 1,India,Srinagar,kiran devi,Chairman/CEO/President,robinchang@lin.com,"Teacher, early years/pre",Contact Email,Level 2,2 days back,"Georgakopoulos,Vasilios T",No,4,63.7
TitleYHYTQ,Graham Inc Ltd,Banks,5338$,33362.5$,2020-02-18,Product_1,477-037-7668x611,500 Million - 1 Billion,Category 3,USA,"Peoria, IL",Sarah Woods,CEO/President,sarahwoods@graham.com,Early years teacher,Website,Level 1,?,"Cashin,Marc C",Yes,5,107.34
TitleV4PQO,"Mayer, Hurley and Moore Inc",Banks,55373$,343312.6$,2019-07-19,Product_1,(088)264-1242x43065,500 Million - 1 Billion,Category 1,India,Alipurduar,pinki,Vice President / GM (04-present) : VP Sales and Marketing (01-04),thomashull@mayer.com,Actor,Marketing Event,Level 1,Up-to-date,"Anthony,Katherine D",Yes,1,60.099999999999994
TitleT7Y5B,Weber-Perry Ltd,Other,457687$,3020734.2$,2019-09-19,Product_1,001-201-505-0860x51808,50 - 100 Million,Category 1,India,Bharauri,kirti,Executive Vice President,melissaking@weberperry.com,Software engineer,Contact Email,Level 3,Did not hear back after Level 1,"Clavey,Therese A",No,4,64.5
TitleO0W9A,Meza-Myers Inc,REIT,207335$,,2020-10-27,Product_1,+1-025-771-0426x190,100 - 500 Million,Category 3,India,Ahmadnagar,rani,CEO/Chairman/President,dannyadams@mezamyers.com,Warden/ranger,Website,Level 2,More than a week back,"Irizarry,Yolanda",Yes,4,62.900000000000006
TitleXVPA5,Brandt-Boyle PLC,Banks,150607$,1001536.55$,2020-06-21,Product_1,274.595.4150,50 - 100 Million,Category 4,USA,"Grand Junction, CO",George Francis,Chairman/Chief Innovation Officer,georgefrancis@brandtboyle.com,Neurosurgeon,Marketing Event,Level 2,?,"Leu,Darren L",We have all the requirements,4,68.6
TitleRDLL2,Li Ltd Group,Banks,164309$,977638.55$,2020-01-27,Product_1,471.792.2612x7676,50 - 100 Million,Category 2,India,Chirala,khusbu,Chairman/CEO/President,masonsimon@li.com,"Designer, multimedia",Marketing Event,Level 1,?,"Jones,Michael L",Not enough,5,107.34
TitleFIF53,"Hughes, Glass and Wilson and Sons",Materials/Manufacturing,124235$,751621.75$,2019-02-09,Product_2,001-391-247-3860x555,100 - 500 Million,Category 2,India,Bhubaneshwar,ritu,Chief Executive Officer,kennethgriffin@hughes.com,Quantity surveyor,Others,Level 3,More than a week back,"Dyson,William A",Deliverable,3,64.8
TitleWKMYP,"Maldonado, Doyle and Patton Group",Trucking,380817$,2513392.2$,2019-05-31,Product_2,650.070.5743,50 - 100 Million,Category 1,,"Chambersburg-Waynesboro, PA",Jennifer Davis,CEO/President,jenniferdavis@maldonado.com,Armed forces operational officer,Contact Email,Level 3,Did not hear back after Level 1,"Leu,Darren L",No,1,68.3
TitleQTWSY,Morales Ltd PLC,Hospitals/Clinics,78985$,505504.0$,2019-04-23,Product_1,9955986940,50 - 100 Million,Category 4,India,Thanjavur,naina,CEO/Chairman/President,brendanjohnson@morales.com,TEFL teacher,Contact Email,Level 3,More than 2 weeks,"Ali,Mohamed",No,1,57.8
TitleE0NC4,"Johnson, Harrison and Collins PLC",Banks,59557$,330541.35$,2019-11-30,Product_1,001-661-580-4910x46205,50 - 100 Million,Category 1,,Bakshpur,santro,Chief Executive Officer,laurafranklin@johnson.com,Civil Service administrator,Others,Level 1,More than a week back,"Jones,Eyvette W",Not enough,2,56.2
Title5HGC5,Perez-Werner and Sons,Construction Services,320881$,2278255.1$,2019-10-10,Product_1,001-130-838-0539,500 Million - 1 Billion,Category 1,USA,"Springfield, OH",Candice Mcintyre,CEO,candicemcintyre@perezwerner.com,Archaeologist,Marketing Event,Level 2,2 days back,"Ali,Mohamed",We have all the requirements,5,76.1
Title22JFS,Moore-Jones PLC,Real Estate,482824$,2945226.4$,2019-05-16,Product_2,934.614.3679x785,500 Million - 1 Billion,Category 3,India,Gaya,aarti,Executive Vice President,brittanyirwin@moorejones.com,"Programmer, systems",Marketing Event,Level 2,2 days back,"Salyers,Daniel L",Yes,1,60.8
TitleHWBSS,Fitzgerald-Harris Inc,Construction Services,371548$,2173555.8$,2019-06-12,Product_1,206.557.1513,50 - 100 Million,Category 3,India,Puducherry,preeti bharti,Vice President / GM (04-present) : VP Sales and Marketing (01-04),scottkaufman@fitzgeraldharris.com,Financial adviser,Contact Email,Level 2,5 days back,"Hameier,Kurt E",We have all the requirements,4,58.8
TitleQ5K7M,"Petersen, Lindsey and Wong LLC",Automotive/Transportation,335694$,,2019-10-04,Product_2,616-555-1222,50 - 100 Million,Category 3,USA,"Chico, CA",Alex Le,CEO/President,alexle@petersen.com,Operational investment banker,Contact Email,Level 1,Did not hear back after Level 1,"Morsy,Omar A",Yes,3,64.1
TitleYZUR0,"Houston, Russell and Snow PLC",Banks,340613$,1958524.75$,2020-05-03,Product_1,+1-796-840-0744,50 - 100 Million,Category 2,India,Bellary,komal,SVP/General Counsel ,catherinegarcia@houston.com,Trade union research officer,Marketing Event,Level 1,Did not hear back after Level 1,"Morsy,Omar A",Cannot deliver,4,26.35
TitleLLTG0,Hughes-Johnson PLC,Constr - Supplies,216892$,1344730.4$,2019-07-30,Product_1,(456)789-9864,100 - 500 Million,Category 3,USA,"Monroe, MI",Anthony Armstrong,CEO/Chairman/President,anthonyarmstrong@hughesjohnson.com,Housing manager/officer,Others,Level 2,,"Davis,Brian R",Cannot deliver,5,69.7
TitleG7EIY,Peterson Group Group,Casinos/Gaming,110031$,687693.75$,2020-05-20,Product_1,989-271-3400x914,50 - 100 Million,Category 1,USA,"Winchester, VA-WV",Tami Frost,CEO,tamifrost@peterson.com,Interior and spatial designer,Contact Email,Level 2,Did not hear back after Level 1,"Massiah,Gerard F",We have all the requirements,1,65.6
TitleAF3SX,Velez Group Group,Banks,252678$,1692942.6$,2019-08-23,Product_2,150-270-6672,500 Million - 1 Billion,Category 3,USA,"Salinas, CA",Michelle Adams,SVP/General Counsel ,michelleadams@velez.com,Hydrologist,Marketing Event,Level 2,No track,"Irizarry,Yolanda",We have all the requirements,5,73.1
Title0887F,"Wilson, Moore and Hanson LLC",Food Processing,410369$,2544287.8$,2019-01-10,Product_1,+1-391-465-4295x9055,100 - 500 Million,Category 3,USA,"Watertown-Fort Drum, NY",Luis Young,Chief Executive Officer,luisyoung@wilson.com,Fitness centre manager,Marketing Event,Level 2,Following up but lead not responding,"Georgakopoulos,Vasilios T",No,2,66.4
TitleACN4T,Franklin Ltd LLC,BioTech/Drugs,365056$,2318105.6$,2020-12-27,Product_2,001-905-818-7076,100 - 500 Million,Category 3,,"Providence-Warwick, RI-MA",Christopher Robles,Executive Vice President,christopherrobles@franklin.com,"Teacher, special educational needs",Website,Level 2,Pending,"Hebron,Artenia D",Cannot deliver,3,69.9
TitleKJ43E,Mcdonald and Sons LLC,Restaurants,464364$,3273766.2$,2019-08-13,Product_2,416.160.3933x091,500 Million - 1 Billion,Category 4,India,Dibrugarh,ritu,CEO/President,douglaslong@mcdonald.com,Advertising art director,Marketing Event,Level 3,More than a week back,"Knox,Antonio D",Not enough,3,66.2
TitleJU74Z,Dunn-Baker PLC,Investment Bank/Brokerage,122503$,698267.1$,2019-01-21,Product_2,+1-489-557-2787x1401,50 - 100 Million,Category 2,,"Gadsden, AL",William Kramer,Chairman/CEO/President,williamkramer@dunnbaker.com,Emergency planning/management officer,Website,Level 1,?,"Green,Candy",Cannot deliver,1,66.0
Title6XDMW,Ramirez-Whitaker LLC,Technology Consulting,92852$,580325.0$,2019-05-30,Product_1,001-571-908-8205x584,500 Million - 1 Billion,Category 1,India,Tiruvannamalai,smt dhapu,CEO/President,kathyroberts@ramirezwhitaker.com,Futures trader,Website,Level 1,More than a week back,"Pappas,Mark S",Deliverable,1,62.400000000000006
TitleUN5FN,Hanson-Fowler Ltd,Grocery,8612$,52102.6$,2020-10-08,Product_2,018.423.7824x8366,500 Million - 1 Billion,Category 3,USA,"Dayton, OH",Mark Brown,Executive Vice President,markbrown@hansonfowler.com,"Nurse, learning disability",Website,Level 2,Pending,"Heidelberg,Andre D",Cannot deliver,1,26.35
TitleQW708,Chaney Ltd Group,Online Banking,285382$,1826444.8$,2019-03-28,Product_2,+1-396-114-4396x38716,50 - 100 Million,Category 1,India,Ranchi,kimmi@neelam,Chairman/CEO/President,jenniferfletcher@chaney.com,Secretary/administrator,Website,Level 1,Pending,"Green,Ann E",We have all the requirements,5,65.8
TitleY3J6Q,Sanchez-Winters PLC,Banks,456685$,3105458.0$,2019-11-17,Product_2,001-093-465-2895x38410,50 - 100 Million,Category 4,USA,"Lake Havasu City-Kingman, AZ",Patrick Simmons,CEO/Chairman/President,patricksimmons@sanchezwinters.com,Field seismologist,Marketing Event,Level 3,More than 2 weeks,"Turner,Marlon D",Cannot deliver,2,68.1
Title4PJXG,Gaines LLC Inc,Banks,463865$,2899156.25$,2020-01-20,Product_2,878.552.3195x6850,50 - 100 Million,Category 2,USA,"Lakeland-Winter Haven, FL",Jennifer Hart,Vice President / GM (04-present) : VP Sales and Marketing (01-04),jenniferhart@gaines.com,Electronics engineer,Website,Level 3,Following up but lead not responding,"Maine,John P",Not enough,2,70.4
Title5RERG,Torres and Sons LLC,Food Processing,67300$,,2020-09-24,Product_2,(670)410-9385x170,50 - 100 Million,Category 3,,"Reno, NV",Jose Martin,Vice President / GM (04-present) : VP Sales and Marketing (01-04),josemartin@torres.com,Historic buildings inspector/conservation officer,Contact Email,Level 1,Did not hear back after Level 1,"Georgakopoulos,Vasilios T",Yes,5,64.2
TitleZITZC,Bass and Sons Inc,Banks,376485$,2560098.0$,2020-05-02,Product_2,554-929-7971,50 - 100 Million,Category 1,USA,"Kingsport-Bristol-Bristol, TN-VA",Amy Stuart,Vice President / GM (04-present) : VP Sales and Marketing (01-04),amystuart@bass.com,Secondary school teacher,Contact Email,Level 3,,"McKenstry,Loretta A",No,3,107.34
TitleIV4WJ,"Kirby, Miller and Kline PLC",Staffing,332149$,2075931.25$,2021-02-12,Product_2,001-702-515-4039x0158,50 - 100 Million,Category 3,USA,"Iowa City, IA",Christopher Greer,Executive Vice President,christophergreer@kirby.com,Administrator,Marketing Event,Level 2,Did not hear back after Level 1,"Moran,Natalie A",Deliverable,3,26.35
TitleJ828U,Soto-Melendez and Sons,Banks,411909$,2471454.0$,2021-02-14,Product_1,6638123816,100 - 500 Million,Category 3,USA,"Sioux Falls, SD",Philip Richards,Chairman/CEO/President,philiprichards@sotomelendez.com,Medical laboratory scientific officer,Contact Email,Level 2,Following up but lead not responding,"Heidelberg,Andre D",We have all the requirements,1,-5.0
Title190KW,"Norton, Edwards and Chung and Sons",Associations,457274$,2972281.0$,2019-10-25,Product_2,001-126-664-5288x091,500 Million - 1 Billion,Category 4,India,Saharanpur,puja chauhan,Executive Vice President,jenniferguzman@norton.com,"Psychologist, occupational",Marketing Event,Level 2,,"Smith,Keenan H",Yes,2,60.3
Title4M2SR,Sanchez-Martinez Inc,Hospitals/Clinics,428962$,2573772.0$,2020-03-01,Product_2,+1-881-255-1461,100 - 500 Million,Category 1,India,Shahbazpur,pooja,CEO/Chairman/President,leslieperry@sanchezmartinez.com,"Doctor, hospital",Others,Level 1,No track,"Leu,Darren L",We have all the requirements,3,61.900000000000006
TitleOKP7X,Strickland-Miller Inc,Software,438399$,2981113.2$,2021-01-17,Product_2,393.607.9187x715,100 - 500 Million,Category 4,USA,"Albany-Schenectady-Troy, NY",Michael Lopez,CEO/President,michaellopez@stricklandmiller.com,"Accountant, chartered public finance",Contact Email,Level 2,No track,"Hanyok,John J",We have all the requirements,5,67.9
TitleKUWBI,"Gilmore, Byrd and Adams Ltd",Banks,420368$,2480171.2$,2020-02-16,Product_2,(252)326-3292,50 - 100 Million,Category 2,India,Rajkot,usha,SVP/General Counsel ,rodneygeorge@gilmore.com,Horticultural therapist,Website,Level 2,Following up but lead not responding,"Ross,Eric L",We have all the requirements,4,107.34
TitleLFPP9,Wilson LLC Group,Construction Services,393530$,2518592.0$,2019-01-03,Product_2,753-492-0426x3559,100 - 500 Million,Category 1,India,Dhanbad,sona,CEO,charlesmunoz@wilson.com,Interpreter,Marketing Event,Level 1,No track,"Ullrich,Rose Anne",Not enough,4,63.900000000000006
Title0VP6W,Reese LLC Group,Materials/Manufacturing,86291$,569520.6$,2019-04-22,Product_2,5711428746,50 - 100 Million,Category 1,India,Alappuzha,anju devi,CEO/President,gregorymason@reese.com,Further education lecturer,Contact Email,Level 3,Pending,"Jones,Michael L",Not enough,4,64.5
TitleQY1WT,"Nelson, Whitney and Brown Inc",Banks,76029$,478982.7$,2019-10-17,Product_2,(810)373-5615,500 Million - 1 Billion,Category 4,,Ranchi,manju,Chief Executive Officer,brucewillis@nelson.com,Manufacturing systems engineer,Marketing Event,Level 1,Did not hear back after Level 1,"Himes,Maurice C",No,2,58.599999999999994
TitleXS7HY,Williams PLC Inc,Consumer Products,274931$,1677079.1$,2021-02-05,Product_1,(943)609-2558x41044,500 Million - 1 Billion,Category 4,USA,"Flint, MI",Jacob Montgomery,CEO/Chairman/President,jacobmontgomery@williams.com,"Scientist, biomedical",Others,Level 1,2 days back,"Davis,Brian R",Not enough,2,63.599999999999994
TitleEM1O5,Mora-Moore Group,Software,487656$,3169764.0$,2020-06-14,Product_2,001-849-880-4638x48707,500 Million - 1 Billion,Category 2,India,Machilipatnam,vinita,CEO/President,julialarsen@moramoore.com,Archivist,Website,Level 3,More than a week back,"Thomas,Lori E",No,3,68.5
Title9BKTA,Greene-Martinez Group,Professional Services,102240$,623664.0$,2020-07-15,Product_2,001-372-598-0463x68551,500 Million - 1 Billion,Category 4,India,Ludhiana,sonyi,Vice President / GM (04-present) : VP Sales and Marketing (01-04),mr.robert@greenemartinez.com,Trade mark attorney,Others,Level 2,more than a month,"Dyson,William A",We have all the requirements,2,26.35
TitleL8S5H,Peterson Ltd Inc,Investment Bank/Brokerage,406960$,2746980.0$,2019-12-30,Product_1,001-947-077-2833,100 - 500 Million,Category 1,USA,"Charleston-North Charleston, SC",Dr. Bryan Vargas,SVP/General Counsel ,dr.bryan@peterson.com,"Journalist, broadcasting",Contact Email,Level 3,5 days back,"Robinson,John C",Not enough,2,68.8
Title6HVG9,Hughes-Perkins and Sons,REIT,47786$,255655.1$,2020-04-10,Product_1,605.109.4526,50 - 100 Million,Category 2,India,Lucknow,arpna pathak,Chairman/CEO/President,jamesjohnston@hughesperkins.com,Glass blower/designer,Marketing Event,Level 1,More than 2 weeks,"Van Arter,Derrick",Yes,2,55.7
TitlePYW1I,Moran-Hernandez and Sons,Staffing,300297$,1861841.4$,2019-03-10,Product_2,+1-673-224-3969x0204,50 - 100 Million,Category 4,India,Dindigul,preety,Executive Vice President,meganlawrence@moranhernandez.com,Retail merchandiser,Website,Level 1,Following up but lead not responding,"Green,Candy",Deliverable,4,60.2
TitleDCF3D,Oliver and Sons PLC,Architecture/Engineering,162873$,952807.05$,2020-02-20,Product_2,397.765.5282x1951,50 - 100 Million,Category 1,,Bhuj,amreen,Executive Vice President,robynpennington@oliver.com,Rural practice surveyor,Others,Level 2,No track,"Kiepea,Prince A",No,2,59.900000000000006
Title8W9AG,Howe-Cruz and Sons,Insurance,58778$,405568.2$,2020-02-17,Product_2,+1-035-607-7888x3384,500 Million - 1 Billion,Category 4,India,Tiruchchirappalli,kushum,CEO/Chairman/President,ashleydixon@howecruz.com,"Accountant, chartered",Website,Level 3,,"Knox,Antonio D",Yes,4,107.34
TitleBL27Q,"Mitchell, Garcia and Parker LLC",Technology Consulting,439832$,,2019-12-25,Product_2,+1-961-592-3709x439,100 - 500 Million,Category 4,,"Sacramento--Roseville--Arden-Arcade, CA",Melissa Meyer,Vice President / GM (04-present) : VP Sales and Marketing (01-04),melissameyer@mitchell.com,Broadcast engineer,Website,Level 2,More than a week back,"Gaskins Jr,Franklin D",We have all the requirements,3,69.4
TitleLXGUE,"Jones, Ramos and Burch PLC",Hotels/Motels,244934$,1616564.4$,2020-10-30,Product_1,916-071-2075x6186,100 - 500 Million,Category 2,USA,"Williamsport, PA",Chris Casey,Vice President / GM (04-present) : VP Sales and Marketing (01-04),chriscasey@jones.com,Amenity horticulturist,Website,Level 3,5 days back,"Maine,John P",Cannot deliver,3,74.1
Title8Y9H5,"Wallace, Maxwell and Harris Ltd",Beverages (Non-Alcoholic),8343$,43800.75$,2020-10-18,Product_1,(988)853-5671,50 - 100 Million,Category 3,USA,"Charlottesville, VA",Cynthia Jones,CEO/President,cynthiajones@wallace.com,"Accountant, chartered public finance",Others,Level 1,more than a month,"Young,Valerie K",No,1,107.34
TitleBSQ9V,Krause-Parker Group,Financial Services,408295$,2633502.75$,2019-03-27,Product_1,359-921-2812,100 - 500 Million,Category 2,,"Janesville-Beloit, WI",Courtney Jackson,Chief Executive Officer,courtneyjackson@krauseparker.com,Chief Financial Officer,Website,Level 2,Did not hear back after Level 1,"Gould,Lisa D",Yes,5,73.5
TitleBYDKG,Simon-Carlson PLC,Non-Profit,112933$,700184.6$,2021-01-21,Product_2,718-051-6005x960,50 - 100 Million,Category 4,India,Saidapur,sitara,Vice President / GM (04-present) : VP Sales and Marketing (01-04),jasonhouston@simoncarlson.com,Energy engineer,Others,Level 3,?,"Ryker,David",Yes,2,59.099999999999994
TitleMDY9S,"Parker, Brown and Jordan Inc",Financial Services,396541$,2379246.0$,2020-12-27,Product_1,(283)277-6390,100 - 500 Million,Category 3,India,Bhagalpur,ramkali,SVP/General Counsel ,caitlinreid@parker.com,TEFL teacher,Marketing Event,Level 1,Up-to-date,"Irizarry,Yolanda",Deliverable,4,60.900000000000006
TitleVV0R5,Carroll-Galloway PLC,Real Estate,464395$,2972128.0$,2019-08-01,Product_1,566-394-1671,50 - 100 Million,Category 1,India,Ghandinagar,uma,CEO/President,joshuaroth@carrollgalloway.com,Therapeutic radiographer,Others,Level 3,More than 2 weeks,"Irizarry,Yolanda",We have all the requirements,3,65.8
Title6ZNYY,"Taylor, Brown and Williams PLC",Healthcare Facilities/Services,123349$,826438.3$,2019-08-19,Product_1,(268)697-1514,500 Million - 1 Billion,Category 2,,Bareilly,manisha,CEO,caitlinvega@taylor.com,"Psychologist, educational",Website,Level 3,5 days back,"Leu,Darren L",Yes,5,70.6
TitleW0QHF,Woods and Sons PLC,Real Estate,308373$,2035261.8$,2019-08-17,Product_1,+1-247-881-0391x735,100 - 500 Million,Category 1,USA,"College Station-Bryan, TX",Mark Anderson,CEO/President,markanderson@woods.com,"Accountant, chartered public finance",Marketing Event,Level 2,2 days back,"Meli,Teresa V",Cannot deliver,2,69.4
TitleFBZK4,Stark-Farmer Inc,Internet Software,14553$,,2020-07-27,Product_1,2775497244,100 - 500 Million,Category 1,India,Diu,heena,SVP/General Counsel ,danielwallace@starkfarmer.com,Careers information officer,Contact Email,Level 3,?,"Dyson,William A",We have all the requirements,4,62.0
TitleXTQDY,"Taylor, Lee and Hendricks Ltd",Real Estate,194795$,,2019-06-30,Product_2,+1-785-302-9645x46177,50 - 100 Million,Category 4,,"Lansing-East Lansing, MI",Andrea Robertson,Chairman/Chief Innovation Officer,andrearobertson@taylor.com,Advertising account executive,Others,Level 2,more than a month,"Georgakopoulos,Vasilios T",Yes,2,63.400000000000006
Title1JVX7,"Stewart, Villanueva and Bell Group",Software Consulting,100868$,615294.8$,2019-12-19,Product_1,8151199416,500 Million - 1 Billion,Category 3,USA,"Billings, MT",Scott Medina,Chairman/CEO/President,scottmedina@stewart.com,Police officer,Marketing Event,Level 1,Following up but lead not responding,"Heidelberg,Andre D",We have all the requirements,1,66.1
TitleHC7X8,Blackburn-Phillips and Sons,Banks,320859$,1925154.0$,2019-01-21,Product_1,952.921.3071,100 - 500 Million,Category 3,India,Tonk,vimala,Chief Executive Officer,danieldavis@blackburnphillips.com,"Engineer, production",Marketing Event,Level 1,Up-to-date,"Houston,Arnold E",Yes,3,60.900000000000006
TitleZ234W,"Ramos, Myers and Knight Inc",Staffing,356589$,2353487.4$,2020-05-19,Product_2,(596)130-6697x9570,50 - 100 Million,Category 1,India,Abohar,vineeta,Chairman/CEO/President,craigalvarez@ramos.com,Phytotherapist,Marketing Event,Level 3,Pending,"Hameier,Kurt E",Cannot deliver,2,64.6
TitleJML8D,"Winters, Mcfarland and Patel Ltd",Education/Training,96066$,557182.8$,2019-07-23,Product_1,127.374.2653x4061,50 - 100 Million,Category 3,India,Aligarh,sakshi,CEO,lukerivas@winters.com,Sports administrator,Others,Level 3,2 days back,"Hanyok,John J",We have all the requirements,2,59.599999999999994
